url,title,price_usd,price_kgs,year,mileage_km,engine,transmission,city,image_url
https://mashina.kg/details/toyota-camry-69e5d8c524fd7072475336,Toyota Camry IX (XV80) China Market,33100,2894595,2026,1,2.0 л.,вариатор,Бишкек,https://im.mashina.kg/tachka/images/e/e/4/ee49ef44ca0fa23d12270eaa3acf95ac_640x480.jpg
https://mashina.kg/details/gac-gs8-69eafc099d2ad031565395,GAC GS8 II,32000,2798400,2026,1,2.0 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/1/9/a/19a4cd6e1263ecb23b645ba13c6625b3_640x480.jpg
https://mashina.kg/details/gmc-terrain-69ff61a97158f472817648,GMC Terrain II,20800,1818960,2020,119500,2.0 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/f/c/1/fc1ede14883e40bd8d4252e1dbdcda92_640x480.jpg
https://mashina.kg/details/hyundai-tucson-6a0168dfc6095547849488,Hyundai Tucson III Рестайлинг,12600,1101870,2020,271715,1.6 л.,робот,Бишкек,https://im.mashina.kg/tachka/images/1/d/e/1dee9324fed5cf03b6c75c8cf11ef820_640x480.jpg
https://mashina.kg/details/hyundai-sonata-6a016aa1a52ac564014083,Hyundai Sonata VII (LF) Рестайлинг,11500,1005675,2019,448327,2.0 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/4/1/f/41f3881f85a6f93e46fe236cf1d2c660_640x480.jpg
https://mashina.kg/details/toyota-rav4-69c9220163a55444880763,Toyota RAV4 IV (XA40) Рестайлинг,24300,2125035,2017,109150,2.5 л.,вариатор,Бишкек,https://im.mashina.kg/tachka/images/1/0/d/10dcc4b1956328c260c2fdb3fa4e5cb4_640x480.jpg
https://mashina.kg/details/hyundai-santa-fe-69e783b255221811125546,Hyundai Santa Fe IV,15300,1337985,2018,119000,2.0 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/2/1/5/21510ad393c68cdf1702635768a5aeaf_640x480.jpg
https://mashina.kg/details/hyundai-sonata-69f3275f46b39895228410,Hyundai Sonata VIII (DN8),13400,1171830,2021,84562,2.0 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/7/2/6/726e20d3d774d4256ab5faae83352808_640x480.jpg
https://mashina.kg/details/lexus-gx-69f8a612333f7286958820,Lexus GX I,30800,2693460,2009,195000,4.7 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/5/6/d/56d904b80f10aff017e982547b8d205e_640x480.jpg
https://mashina.kg/details/lexus-nx-69ff02b9825bc793516726,Lexus NX I,19400,1696530,2017,63000,2.0 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/9/c/8/9c860529ee2f4e22182edc5f5d8bf813_640x480.jpg
https://mashina.kg/details/toyota-rav4-69d34bab1b988967040001,Toyota RAV4 V (XA50),36800,3218160,2022,62100,2.5 л.,вариатор,Бишкек,https://im.mashina.kg/tachka/images/c/6/c/c6cb4c4d97688aa4449221d623fdaf93_640x480.jpg
https://mashina.kg/details/bmw-z4-69fb02ea825d0102542690,BMW Z4 III (G29),43500,3804075,2019,56500,2.0 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/b/4/4/b44c771acc3c71dfdee705ea06a013ee_640x480.jpg
